,Name,region,country,type,url
0,USNSF,Americas,usa,National government,http://dx.doi.org/10.13039/100000001
1,Institutos Nacionales de la Salud,Americas,usa,National government,http://dx.doi.org/10.13039/100000002
2,Boeing Company,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100000003
3,United States Department of Defense,Americas,usa,National government,http://dx.doi.org/10.13039/100000005
4,Naval Research,Americas,usa,National government,http://dx.doi.org/10.13039/100000006
5,Packard Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000008
6,Foundation for the National Institutes of Health Inc,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000009
7,The Ford Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000010
8,HHMI,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000011
9,Smithsonian,Americas,usa,National government,http://dx.doi.org/10.13039/100000014
10,Department of Energy,Americas,usa,National government,http://dx.doi.org/10.13039/100000015
11,United States Department of Health and Human Services,Americas,usa,National government,http://dx.doi.org/10.13039/100000016
12,Fundación Nacional de la Hemofilia,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000019
13,Instituto Nacional de la Salud Mental,Americas,usa,National government,http://dx.doi.org/10.13039/100000025
14,NIDA,Americas,usa,National government,http://dx.doi.org/10.13039/100000026
15,National Institute on Alcohol Abuse and Alcoholism,Americas,usa,National government,http://dx.doi.org/10.13039/100000027
16,Semiconductor Research Corp.,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100000028
17,Centros para el Control y la Prevención de Enfermedades,Americas,usa,National government,http://dx.doi.org/10.13039/100000030
18,United States Food and Drug Administration,Americas,usa,National government,http://dx.doi.org/10.13039/100000038
19,American Parkinson's Disease Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000040
20,"American Diabetes Association, Inc.",Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100000041
21,Amgen Foundation Inc,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000042
22,AMERICAN ASSOCIATION FOR CANCER RESEARCH INC,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000043
23,Aetna Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000045
24,The Abbott Fund,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000046
25,The Annenberg Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000047
26,ACS,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100000048
27,U.S. National Institute on Aging,Americas,usa,National government,http://dx.doi.org/10.13039/100000049
28,"NIH/National Heart, Lung and Blood Institute",Americas,usa,National government,http://dx.doi.org/10.13039/100000050
29,National Human Genome Research Institute,Americas,usa,National government,http://dx.doi.org/10.13039/100000051
30,The Office of the Director,Americas,usa,National government,http://dx.doi.org/10.13039/100000052
31,NEI,Americas,usa,National government,http://dx.doi.org/10.13039/100000053
32,National Cancer Institute,Americas,usa,National government,http://dx.doi.org/10.13039/100000054
33,National Institute on Deafness and Other Communication Disorders,Americas,usa,National government,http://dx.doi.org/10.13039/100000055
34,NINR,Americas,usa,National government,http://dx.doi.org/10.13039/100000056
35,National Institute of General Medical Sciences,Americas,usa,National government,http://dx.doi.org/10.13039/100000057
36,U.S. Substance Abuse and Mental Health Services Administration,Americas,usa,National government,http://dx.doi.org/10.13039/100000058
37,Instituto Nacional de Alergias y Enfermedades Infecciosas,Americas,usa,National government,http://dx.doi.org/10.13039/100000060
38,John Edward Fogarty International Center,Americas,usa,Research institutes and centers,http://dx.doi.org/10.13039/100000061
39,National Institute of Diabetes & Digestive & Kidney Diseases,Americas,usa,National government,http://dx.doi.org/10.13039/100000062
40,Office of Dietary Supplements,Americas,usa,National government,http://dx.doi.org/10.13039/100000063
41,NCCAM,Americas,usa,National government,http://dx.doi.org/10.13039/100000064
42,National Institute of Neurological Disorders and Stroke,Americas,usa,National government,http://dx.doi.org/10.13039/100000065
43,NIEHS,Americas,usa,National government,http://dx.doi.org/10.13039/100000066
44,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Americas,usa,National government,http://dx.doi.org/10.13039/100000069
45,The National Institute of Biomedical Imaging and Bioengineering,Americas,usa,National government,http://dx.doi.org/10.13039/100000070
46,NICHD,Americas,usa,National government,http://dx.doi.org/10.13039/100000071
47,El Instituto Nacional de Investigación Dental y Craneofacial,Americas,usa,National government,http://dx.doi.org/10.13039/100000072
48,AS,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000073
49,US DOJ,Americas,usa,National government,http://dx.doi.org/10.13039/100000074
50,Directorate for Biological Sciences at NSF,Americas,usa,National government,http://dx.doi.org/10.13039/100000076
51,Social & Economic Sciences,Americas,usa,National government,http://dx.doi.org/10.13039/100000077
52,NSF Division of Materials Research,Americas,usa,National government,http://dx.doi.org/10.13039/100000078
53,APSF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000080
54,EHR,Americas,usa,National government,http://dx.doi.org/10.13039/100000081
55,DGE,Americas,usa,National government,http://dx.doi.org/10.13039/100000082
56,NSF's Directorate for Computer and Information Science and Engineering,Americas,usa,National government,http://dx.doi.org/10.13039/100000083
57,Engineering,Americas,usa,National government,http://dx.doi.org/10.13039/100000084
58,Geosciences,Americas,usa,National government,http://dx.doi.org/10.13039/100000085
59,NSF Directorate for Mathematical & Physical Sciences,Americas,usa,National government,http://dx.doi.org/10.13039/100000086
60,GEO/OPP,Americas,usa,National government,http://dx.doi.org/10.13039/100000087
61,"U.S. National Science Foundation's Directorate for Social, Behavioral and Economic Sciences",Americas,usa,National government,http://dx.doi.org/10.13039/100000088
62,International Science and Engineering,Americas,usa,National government,http://dx.doi.org/10.13039/100000089
63,DEPARTMENT OF DEFENSE - CONGRESSIONALLY DIRECTED MEDICAL RESEARCH PROGRAM,Americas,usa,National government,http://dx.doi.org/10.13039/100000090
64,NLM,Americas,usa,National government,http://dx.doi.org/10.13039/100000092
65,Center for Information Technology,Americas,usa,Research institutes and centers,http://dx.doi.org/10.13039/100000093
66,NCMHD,Americas,usa,National government,http://dx.doi.org/10.13039/100000096
67,NCRR,Americas,usa,National government,http://dx.doi.org/10.13039/100000097
68,NIH Clinical Center,Americas,usa,National government,http://dx.doi.org/10.13039/100000098
69,Salute Risorse e Servizi Amministrazione,Americas,usa,National government,http://dx.doi.org/10.13039/100000102
70,U.S. National Endowment for the Humanities,Americas,usa,National government,http://dx.doi.org/10.13039/100000103
71,National Aeronautics & Space Administration,Americas,usa,National government,http://dx.doi.org/10.13039/100000104
72,The Office of Advanced Cyberinfrastructure,Americas,usa,National government,http://dx.doi.org/10.13039/100000105
73,OD/OIA,Americas,usa,National government,http://dx.doi.org/10.13039/100000106
74,Science of Learning Centers,Americas,usa,National government,http://dx.doi.org/10.13039/100000107
75,National Science Digital Library,Americas,usa,National government,http://dx.doi.org/10.13039/100000108
76,Nanotechnology Initiative,Americas,usa,National government,http://dx.doi.org/10.13039/100000110
77,NIH's Office of Behavioral and Social Sciences Research,Americas,usa,National government,http://dx.doi.org/10.13039/100000118
78,NSF Division of Mathematical Sciences,Americas,usa,National government,http://dx.doi.org/10.13039/100000121
79,NIH Office of Research on Women's Health,Americas,usa,National government,http://dx.doi.org/10.13039/100000124
80,National Institute for Occupational Safety and Health,Americas,usa,National government,http://dx.doi.org/10.13039/100000125
81,NTIA,Americas,usa,National government,http://dx.doi.org/10.13039/100000126
82,National Center for Chronic Disease Prevention and Health Promotion,Americas,usa,National government,http://dx.doi.org/10.13039/100000130
83,TRB,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100000132
84,Agency for Healthcare Research & Quality,Americas,usa,National government,http://dx.doi.org/10.13039/100000133
85,The NIH Blueprint for Neuroscience Research,Americas,usa,National government,http://dx.doi.org/10.13039/100000135
86,U.S. Department of Education,Americas,usa,National government,http://dx.doi.org/10.13039/100000138
87,U.S. Environmental Protection Agency,Americas,usa,National government,http://dx.doi.org/10.13039/100000139
88,US Department of Transportation,Americas,usa,National government,http://dx.doi.org/10.13039/100000140
89,Ocean Sciences,Americas,usa,National government,http://dx.doi.org/10.13039/100000141
90,Avon Foundation for Women,Europe,gbr,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000142
91,Computing and Communication Foundations,Americas,usa,National government,http://dx.doi.org/10.13039/100000143
92,NSF/CISE Division of Computer and Network Systems,Americas,usa,National government,http://dx.doi.org/10.13039/100000144
93,NSF Division of Information and Intelligent Systems,Americas,usa,National government,http://dx.doi.org/10.13039/100000145
94,CBET,Americas,usa,National government,http://dx.doi.org/10.13039/100000146
95,ENG/CMMI,Americas,usa,National government,http://dx.doi.org/10.13039/100000147
96,"Division of Electrical, Communications and Cyber Systems",Americas,usa,National government,http://dx.doi.org/10.13039/100000148
97,NSF – Engineering Education & Centers,Americas,usa,National government,http://dx.doi.org/10.13039/100000149
98,NSF's Emerging Frontiers in Research and Innovation,Americas,usa,National government,http://dx.doi.org/10.13039/100000150
99,Directorate for Engineering's Division of Industrial Innovation and Partnerships,Americas,usa,National government,http://dx.doi.org/10.13039/100000151
100,Molecular & Cellular Biosciences,Americas,usa,National government,http://dx.doi.org/10.13039/100000152
101,Biological Infrastructure,Americas,usa,National government,http://dx.doi.org/10.13039/100000153
102,NSF IOS,Americas,usa,National government,http://dx.doi.org/10.13039/100000154
103,NSF DEB,Americas,usa,National government,http://dx.doi.org/10.13039/100000155
104,BIO/EF,Americas,usa,National government,http://dx.doi.org/10.13039/100000156
105,AGS,Americas,usa,National government,http://dx.doi.org/10.13039/100000159
106,EAR,Americas,usa,National government,http://dx.doi.org/10.13039/100000160
107,U.S. National Institute of Standards and Technology,Americas,usa,National government,http://dx.doi.org/10.13039/100000161
108,Division of Antarctic Sciences,Americas,usa,National government,http://dx.doi.org/10.13039/100000162
109,Division of Arctic Sciences,Americas,usa,National government,http://dx.doi.org/10.13039/100000163
110,Astronomical Sciences,Americas,usa,National government,http://dx.doi.org/10.13039/100000164
111,MPS/CHE,Americas,usa,National government,http://dx.doi.org/10.13039/100000165
112,Division of Physics,Americas,usa,National government,http://dx.doi.org/10.13039/100000166
113,National Science Foundation's Division of Behavioral and Cognitive Sciences,Americas,usa,National government,http://dx.doi.org/10.13039/100000169
114,National Center for Science & Engineering Statistics,Americas,usa,National government,http://dx.doi.org/10.13039/100000170
115,HRD,Americas,usa,National government,http://dx.doi.org/10.13039/100000171
116,Division of Undergraduate Education,Americas,usa,National government,http://dx.doi.org/10.13039/100000172
117,NSF Division of Research on Learning in Formal and Informal Settings,Americas,usa,National government,http://dx.doi.org/10.13039/100000173
118,Division of Antarctic Infrastructure & Logistics,Americas,usa,National government,http://dx.doi.org/10.13039/100000174
